Measurement : Å											
Device : DataPhysics OCA - Series											
Customer : DataPhysics											
Sample : Not Defined											
Operator : Ruben											
Remarks : DataPhysics											
											
Run-Num.	Volume	Drop	Type	Error	Theta(M)	Base Diameter	Solid	Mag-factor	IFT	Comment	Age
162	-999	Water	SD	-999	67,6	3,2368		171,78	0		397630
163	-999	Water	SD	-999	67,6	3,2367		171,78	0		397663
164	-999	Water	SD	-999	67,8	3,2368		171,78	0		397698
165	-999	Water	SD	-999	67,5	3,2425		171,78	0		397734
166	-999	Water	SD	-999	67,3	3,2311		171,78	0		397768
167	-999	Water	SD	-999	67,7	3,2367		171,78	0		397803
168	-999	Water	SD	-999	67,7	3,2425		171,78	0		397844
169	-999	Water	SD	-999	67,7	3,2425		171,78	0		397878
170	-999	Water	SD	-999	66,9	3,2368		171,78	0		397911
171	-999	Water	SD	-999	66,8	3,2368		171,78	0		397951
172	-999	Water	SD	-999	67,2	3,2426		171,78	0		397985
173	-999	Water	SD	-999	67,3	3,2426		171,78	0		398021
174	-999	Water	SD	-999	67,4	3,2425		171,78	0		398054
175	-999	Water	SD	-999	67	3,2368		171,78	0		398097
176	-999	Water	SD	-999	67	3,2368		171,78	0		398144
177	-999	Water	SD	-999	67,2	3,2425		171,78	0		398177
178	-999	Water	SD	-999	66,8	3,2368		171,78	0		398222
179	-999	Water	SD	-999	66,8	3,2368		171,78	0		398257
180	-999	Water	SD	-999	67,1	3,2312		171,78	0		398292
181	-999	Water	SD	-999	67,2	3,2426		171,78	0		398332
182	-999	Water	SD	-999	67	3,2312		171,78	0		398367
183	-999	Water	SD	-999	66,8	3,2368		171,78	0		398405
184	-999	Water	SD	-999	67,4	3,2368		171,78	0		398442
185	-999	Water	SD	-999	67	3,2484		171,78	0		398477
186	-999	Water	SD	-999	67	3,2484		171,78	0		398510
187	-999	Water	SD	-999	67,1	3,2426		171,78	0		398546
188	-999	Water	SD	-999	67,2	3,2426		171,78	0		398583
189	-999	Water	SD	-999	67	3,2542		171,78	0		398617
190	-999	Water	SD	-999	66,6	3,2484		171,78	0		398659
191	-999	Water	SD	-999	67	3,2542		171,78	0		398693
192	-999	Water	SD	-999	66,7	3,2542		171,78	0		398728
193	-999	Water	SD	-999	67	3,2426		171,78	0		398781
194	-999	Water	SD	-999	66,8	3,2542		171,78	0		398820
195	-999	Water	SD	-999	67,2	3,2484		171,78	0		398856
196	-999	Water	SD	-999	66,9	3,2542		171,78	0		398892
197	-999	Water	SD	-999	66,4	3,2427		171,78	0		398938
198	-999	Water	SD	-999	67,2	3,2484		171,78	0		398974
199	-999	Water	SD	-999	67,3	3,2484		171,78	0		399009
200	-999	Water	SD	-999	67	3,2484		171,78	0		399048
201	-999	Water	SD	-999	67,4	3,2426		171,78	0		399085
202	-999	Water	SD	-999	66,8	3,2426		171,78	0		399119
203	-999	Water	SD	-999	67,1	3,2484		171,78	0		399161
204	-999	Water	SD	-999	67	3,2484		171,78	0		399197
205	-999	Water	SD	-999	67	3,2484		171,78	0		399229
206	-999	Water	SD	-999	67,3	3,2369		171,78	0		399268
207	-999	Water	SD	-999	66,8	3,2484		171,78	0		399306
208	-999	Water	SD	-999	66,9	3,2426		171,78	0		399344
209	-999	Water	SD	-999	66,4	3,2484		171,78	0		399381
210	-999	Water	SD	-999	65,9	3,2484		171,78	0		399417
211	-999	Water	SD	-999	65,8	3,2542		171,78	0		399451
212	-999	Water	SD	-999	65	3,2484		171,78	0		399494
213	-999	Water	SD	-999	64,3	3,2371		171,78	0		399532
214	-999	Water	SD	-999	64	3,2427		171,78	0		399568
215	-999	Water	SD	-999	62,4	3,2484		171,78	0		399603
216	-999	Water	SD	-999	62,4	3,2484		171,78	0		399644
217	-999	Water	SD	-999	61,2	3,2428		171,78	0		399681
218	-999	Water	SD	-999	61,2	3,2428		171,78	0		399720
219	-999	Water	SD	-999	61,2	3,2426		171,78	0		399762
220	-999	Water	SD	-999	61,2	3,2426		171,78	0		399796
221	-999	Water	SD	-999	60,3	3,2312		171,78	0		399835
222	-999	Water	SD	-999	59,2	3,2254		171,78	0		399893
223	-999	Water	SD	-999	59	3,2254		171,78	0		399931
224	-999	Water	SD	-999	58,2	3,2256		171,78	0		399971
225	-999	Water	SD	-999	58,2	3,2253		171,78	0		400018
226	-999	Water	SD	-999	57,3	3,2255		171,78	0		400061
227	-999	Water	SD	-999	57,1	3,2138		171,78	0		400098
228	-999	Water	SD	-999	56,2	3,2196		171,78	0		400141
229	-999	Water	SD	-999	56,1	3,2197		171,78	0		400181
230	-999	Water	SD	-999	55,1	3,2139		171,78	0		400221
231	-999	Water	SD	-999	54,6	3,2081		171,78	0		400265
232	-999	Water	SD	-999	53,6	3,2139		171,78	0		400306
233	-999	Water	SD	-999	53,4	3,2139		171,78	0		400347
234	-999	Water	SD	-999	52,7	3,2026		171,78	0		400386
235	-999	Water	SD	-999	52,4	3,214		171,78	0		400431
236	-999	Water	SD	-999	51	3,2023		171,78	0		400472
237	-999	Water	SD	-999	51	3,2023		171,78	0		400511
238	-999	Water	SD	-999	49,5	3,191		171,78	0		400569
239	-999	Water	SD	-999	48,5	3,1855		171,78	0		400627
240	-999	Water	SD	-999	48,3	3,2024		171,78	0		400667
241	-999	Water	SD	-999	47,6	3,1851		171,78	0		400710
242	-999	Water	SD	-999	46,8	3,191		171,78	0		400751
243	-999	Water	SD	-999	46,5	3,1737		171,78	0		400789
244	-999	Water	SD	-999	46,1	3,1908		171,78	0		400830
245	-999	Water	SD	-999	45,6	3,1736		171,78	0		400874
246	-999	Water	SD	-999	44,8	3,0742		171,78	0		400912
247	-999	Water	SD	-999	44,5	3,0913		171,78	0		400952
248	-999	Water	SD	-999	43,8	3,0914		171,78	0		400990
249	-999	Water	SD	-999	44	3,1206		171,78	0		401022
250	-999	Water	SD	-999	42,9	3,0855		171,78	0		401065
251	-999	Water	SD	-999	42,8	3,0796		171,78	0		401100
252	-999	Water	SD	-999	41,9	3,0741		171,78	0		401135
253	-999	Water	SD	-999	41,4	3,0856		171,78	0		401173
254	-999	Water	SD	-999	41,2	3,1096		171,78	0		401211
255	-999	Water	SD	-999	40,8	3,0915		171,78	0		401249
256	-999	Water	SD	-999	39,6	3,074		171,78	0		401285
257	-999	Water	SD	-999	39,8	3,1443		171,78	0		401328
258	-999	Water	SD	-999	40,1	3,1265		171,78	0		401366
259	-999	Water	SD	-999	39	3,1151		171,78	0		401405
260	-999	Water	SD	-999	38,6	3,0971		171,78	0		401443
261	-999	Water	SD	-999	38,1	3,0914		171,78	0		401477
262	-999	Water	SD	-999	38,1	3,0914		171,78	0		401512
263	-999	Water	SD	-999	37,5	3,0448		171,78	0		401552
264	-999	Water	SD	-999	37,5	3,0448		171,78	0		401590
265	-999	Water	SD	-999	37,6	3,0563		171,78	0		401626
266	-999	Water	SD	-999	38,1	3,1093		171,78	0		401668
267	-999	Water	SD	-999	38,1	3,0921		171,78	0		401705
268	-999	Water	SD	-999	37,9	3,1155		171,78	0		401742
269	-999	Water	SD	-999	38,1	3,0979		171,78	0		401785
270	-999	Water	SD	-999	37,5	3,0449		171,78	0		401822
271	-999	Water	SD	-999	38	3,1096		171,78	0		401858
272	-999	Water	SD	-999	38,1	3,1327		171,78	0		401906
273	-999	Water	SD	-999	38,4	3,115		171,78	0		401942
274	-999	Water	SD	-999	37,7	3,08		171,78	0		401978
275	-999	Water	SD	-999	37,8	3,0564		171,78	0		402016
276	-999	Water	SD	-999	37,6	3,0623		171,78	0		402065
277	-999	Water	SD	-999	37,5	3,0505		171,78	0		402102
278	-999	Water	SD	-999	38,1	3,1036		171,78	0		402138
279	-999	Water	SD	-999	38,1	3,0864		171,78	0		402180
280	-999	Water	SD	-999	37,3	3,0507		171,78	0		402220
281	-999	Water	SD	-999	37,8	3,0682		171,78	0		402257
282	-999	Water	SD	-999	37,7	3,0506		171,78	0		402299
283	-999	Water	SD	-999	38	3,0921		171,78	0		402342
284	-999	Water	SD	-999	37,8	3,0743		171,78	0		402379
285	-999	Water	SD	-999	37,5	3,0744		171,78	0		402420
286	-999	Water	SD	-999	37,8	3,0859		171,78	0		402459
287	-999	Water	SD	-999	37,5	3,0449		171,78	0		402498
288	-999	Water	SD	-999	38	3,0975		171,78	0		402536
289	-999	Water	SD	-999	37,7	3,0446		171,78	0		402573
290	-999	Water	SD	-999	37,4	3,0446		171,78	0		402609
291	-999	Water	SD	-999	37,7	3,0738		171,78	0		402656
292	-999	Water	SD	-999	38,5	3,1207		171,78	0		402710
293	-999	Water	SD	-999	38,3	3,1153		171,78	0		402750
294	-999	Water	SD	-999	38	3,0684		171,78	0		402792
295	-999	Water	SD	-999	37,9	3,0859		171,78	0		402827
296	-999	Water	SD	-999	38	3,127		171,78	0		402867
297	-999	Water	SD	-999	38,1	3,1096		171,78	0		402906
298	-999	Water	SD	-999	38,4	3,115		171,78	0		402951
299	-999	Water	SD	-999	37,9	3,0798		171,78	0		402991
300	-999	Water	SD	-999	37,6	3,0447		171,78	0		403031
301	-999	Water	SD	-999	37,4	3,0275		171,78	0		403074
302	-999	Water	SD	-999	37,6	3,0622		171,78	0		403109
303	-999	Water	SD	-999	37,8	3,0742		171,78	0		403149
304	-999	Water	SD	-999	38,1	3,1036		171,78	0		403192
305	-999	Water	SD	-999	38,1	3,1036		171,78	0		403228
306	-999	Water	SD	-999	37,9	3,0859		171,78	0		403265
307	-999	Water	SD	-999	37,8	3,0682		171,78	0		403316
308	-999	Water	SD	-999	37,4	3,0625		171,78	0		403353
309	-999	Water	SD	-999	37,7	3,0859		171,78	0		403390
310	-999	Water	SD	-999	37,4	3,0507		171,78	0		403439
311	-999	Water	SD	-999	38,3	3,0978		171,78	0		403484
312	-999	Water	SD	-999	38,1	3,0921		171,78	0		403525
313	-999	Water	SD	-999	37,8	3,0563		171,78	0		403567
314	-999	Water	SD	-999	37,3	3,0331		171,78	0		403605
315	-999	Water	SD	-999	37,3	3,0331		171,78	0		403642
316	-999	Water	SD	-999	38,5	3,115		171,78	0		403685
317	-999	Water	SD	-999	37,8	3,0681		171,78	0		403727
318	-999	Water	SD	-999	38,1	3,1034		171,78	0		403764
319	-999	Water	SD	-999	37,9	3,0739		171,78	0		403804
320	-999	Water	SD	-999	38,1	3,0974		171,78	0		403847
321	-999	Water	SD	-999	38,7	3,1205		171,78	0		403885
322	-999	Water	SD	-999	38,7	3,1205		171,78	0		403922
323	-999	Water	SD	-999	37,6	3,0625		171,78	0		403970
324	-999	Water	SD	-999	37,6	3,0509		171,78	0		404015
325	-999	Water	SD	-999	38,1	3,0862		171,78	0		404060
326	-999	Water	SD	-999	37,9	3,0627		171,78	0		404100
327	-999	Water	SD	-999	38,2	3,0981		171,78	0		404138
328	-999	Water	SD	-999	38,3	3,0564		171,78	0		404179
